,date,log_ret
1429,2011-08-05,-0.017428797492072406
1430,2011-08-07,0.005262215741052539
1431,2011-08-08,-0.001963040768120594
1432,2011-08-09,-0.004592773458710148
1433,2011-08-10,0.012765446660251395
1434,2011-08-11,-0.0038494367421580966
1435,2011-08-12,-0.0031964304324759996
1436,2011-08-14,0.0020973044077239322
1437,2011-08-15,0.009586575623355437
1438,2011-08-16,-0.0013843695772019216
1439,2011-08-17,0.0037667222437688386
1440,2011-08-18,0.0011890513564935812
1441,2011-08-19,0.00749013963436751
1442,2011-08-21,-0.0014557475078866289
1443,2011-08-22,-0.004656861488184977
1444,2011-08-23,-0.00029276437029371327
1445,2011-08-24,-0.0007837642458475569
1446,2011-08-25,-0.0020136842150139944
1447,2011-08-26,-0.002773463956609601
1448,2011-08-28,0.0007954753782341006
1449,2011-08-29,-0.0005010757325700499
1450,2011-08-30,-0.0025171273446401576
1451,2011-08-31,0.000757397618115413
1452,2011-09-01,0.0030635938005761087
1453,2011-09-02,-0.003159233430523739
1454,2011-09-04,0.002753945611027042
1455,2011-09-05,0.008752548673774202
1456,2011-09-06,0.005288668434666771
1457,2011-09-07,0.0005328151570919426
1458,2011-09-08,-0.005742695044421181
1459,2011-09-09,0.002620119758323408
1460,2011-09-11,0.00013357586539716748
1461,2011-09-12,-0.012499520378097151
1462,2011-09-13,-0.0035306015180104344
1463,2011-09-14,0.0011968595836996943
1464,2011-09-15,0.000988323517263301
1465,2011-09-16,-0.005431887272415031
1466,2011-09-18,-0.002598549804037703
1467,2011-09-19,-0.003370514036415917
1468,2011-09-20,0.005408220317115797
1469,2011-09-21,0.008387750937631944
1470,2011-09-22,-0.008387750937631944
1471,2011-09-23,0.009078932050620714
1472,2011-09-25,0.004350606555581421
1473,2011-09-26,-0.005860700627319471
1474,2011-09-27,-0.0004932614226382526
1475,2011-09-28,0.001780958530766874
1476,2011-09-29,0.008944129532827527
1477,2011-09-30,-0.0012052797432037243
1478,2011-10-02,0.00029948614706351573
1479,2011-10-03,-0.0034337033630443825
1480,2011-10-04,-0.00680744304063835
1481,2011-10-05,0.0020995379187327967
1482,2011-10-06,0.005616812875021859
1483,2011-10-07,0.001373648277888967
1484,2011-10-09,0.0010959855701586085
1485,2011-10-10,0.003304331677113609
1486,2011-10-11,0.0024789381506963026
1487,2011-10-12,0.000250689397151338
1488,2011-10-13,0.00451729137171375
1489,2011-10-14,0.0005379005637328182
1490,2011-10-16,0.0006622336212601942
1491,2011-10-17,-0.0009038632976777761
1492,2011-10-18,0.00580630996162354
1493,2011-10-19,0.000364198515461045
1494,2011-10-20,-0.0012946691680911226
1495,2011-10-21,0.0008452135442669761
1496,2011-10-23,-0.0017610213817753073
1497,2011-10-24,0.008728075909768429
1498,2011-10-25,0.007339186984493318
1499,2011-10-26,-0.006677449977712524
1500,2011-10-27,0.00044604062785313925
1501,2011-10-28,0.0013753205165900617
1502,2011-10-30,-0.0006528493263671109
1503,2011-10-31,0.0019496026377458509
1504,2011-11-01,-0.003749063285260368
1505,2011-11-02,0.008087464883858586
1506,2011-11-03,-0.0003970951018572033
1507,2011-11-04,-0.001643511368091044
1508,2011-11-06,-0.0013627213659796467
1509,2011-11-07,-0.00210898543979382
1510,2011-11-08,-0.0006911805638725177
1511,2011-11-09,-0.001653089923927098
1512,2011-11-10,0.0046830582220315775
1513,2011-11-11,0.0009263335845848819
1514,2011-11-13,-0.0003137855186942651
1515,2011-11-14,0.0045364713239634535
1516,2011-11-15,0.004584252065166383
1517,2011-11-16,-0.001092838224529158
1518,2011-11-17,-0.0007900154615822497
1519,2011-11-18,0.0051088583619377514
1520,2011-11-20,-0.00037053701824057983
1521,2011-11-21,-0.005818005146877969
1522,2011-11-22,0.0007072485665027828
1523,2011-11-23,-0.0030531120132873957
1524,2011-11-24,-0.0019310845640871932
1525,2011-11-25,0.0025180665407744662
1526,2011-11-27,-0.0015711401622665044
1527,2011-11-28,0.0014644417908396545
1528,2011-11-29,6.859311708878879e-05
1529,2011-11-30,0.0027474740157421573
1530,2011-12-01,-0.0032658496819898963
1531,2011-12-02,0.0013868148158233118
1532,2011-12-04,-0.00031224654021788645
1533,2011-12-05,0.0014081454010305139
1534,2011-12-06,-0.0010502124220627684
1535,2011-12-07,0.002661436616742896
1536,2011-12-08,0.0005086682491916017
1537,2011-12-09,-0.0003719856866363225
1538,2011-12-11,8.351903669445715e-05
1539,2011-12-12,0.001024438640354397
1540,2011-12-13,0.002106284778517542
1541,2011-12-14,-0.00019680271348498923
1542,2011-12-15,-0.0047805590953466925
1543,2011-12-16,-0.003459261918686285
1544,2011-12-18,-0.0018258845139768054
1545,2011-12-19,0.002131146469260714
1546,2011-12-20,0.0008389902101476054
1547,2011-12-21,-0.0008695122126985422
1548,2011-12-22,-0.001137608777674437
1549,2011-12-23,0.0010765619776523239
1550,2011-12-25,0.0005797941893105341
1551,2011-12-26,0.0005184784299507861
1552,2011-12-27,0.0019875499146738695
1553,2011-12-28,-0.0011874858668765587
1554,2011-12-29,0.00035030271081282205
1555,2011-12-30,-0.00218759257784934
1556,2012-01-01,0.0015554355686065446
1557,2012-01-02,0.00010665691527828036
1558,2012-01-03,-0.00039621161265934735
1559,2012-01-04,0.0019490660553679318
1560,2012-01-05,-0.0016595113579868648
1561,2012-01-06,-0.002181342008397591
1562,2012-01-08,-0.0015894245504045612
1563,2012-01-09,-0.005782934265644635
1564,2012-01-10,-0.0027806359456843954
1565,2012-01-11,-0.003105568566515282
1566,2012-01-12,0.007346597386778897
1567,2012-01-13,-0.002314557749542312
