,date,log_ret
1438,2011-08-05,0.009072303007591875
1439,2011-08-07,0.002090871338059519
1440,2011-08-08,-0.006322542984307511
1441,2011-08-09,-0.0009871094132400393
1442,2011-08-10,-0.01181021347724992
1443,2011-08-11,0.007279101260520449
1444,2011-08-12,0.0031315490447749172
1445,2011-08-14,0.00019040658004393363
1446,2011-08-15,0.005817530185474873
1447,2011-08-16,0.0038515261731022488
1448,2011-08-17,0.005568172769683799
1449,2011-08-18,-0.0034355029351803568
1450,2011-08-19,-0.0007589764504826735
1451,2011-08-21,0.0006375789219872918
1452,2011-08-22,-0.001026397949856317
1453,2011-08-23,0.00226396180593863
1454,2011-08-24,-0.007821122707473704
1455,2011-08-25,-0.004611703997445149
1456,2011-08-26,0.004697245106110082
1457,2011-08-28,-0.00129612098969073
1458,2011-08-29,0.0031761764801324643
1459,2011-08-30,-0.005307420205666213
1460,2011-08-31,-0.0041222478210024005
1461,2011-09-01,-0.003200140848738986
1462,2011-09-02,0.001382434662533849
1463,2011-09-04,-0.003137916356288517
1464,2011-09-05,-0.004625963205286521
1465,2011-09-06,-0.008651847374372246
1466,2011-09-07,0.001177952379016245
1467,2011-09-08,-0.0008645317032229816
1468,2011-09-09,-0.004768330792825182
1469,2011-09-11,-0.0015377443568660998
1470,2011-09-12,-0.0006056629670836977
1471,2011-09-13,-0.003983791889555277
1472,2011-09-14,-0.0008176900396334452
1473,2011-09-15,0.0016790274457934573
1474,2011-09-16,-0.0002785868069176134
1475,2011-09-18,-0.005225193071431267
1476,2011-09-19,-0.002428229829020301
1477,2011-09-20,0.0039738694303170785
1478,2011-09-21,-0.015029306777207152
1479,2011-09-22,-0.007304454631450186
1480,2011-09-23,0.00378839932835362
1481,2011-09-25,0.0019276054508026164
1482,2011-09-26,0.004867130754274307
1483,2011-09-27,0.0052594566751837935
1484,2011-09-28,-0.005285180478706686
1485,2011-09-29,0.003799942951831614
1486,2011-09-30,-0.0014361186240113843
1487,2011-10-02,-0.0010591759318372418
1488,2011-10-03,-0.008974051135446637
1489,2011-10-04,0.0020974954281488545
1490,2011-10-05,0.00010993239168977098
1491,2011-10-06,-0.0017798032676734077
1492,2011-10-07,0.007492557049883719
1493,2011-10-09,-0.00023148594790772803
1494,2011-10-10,0.0061291279661286335
1495,2011-10-11,-0.004233806912913363
1496,2011-10-12,0.009887158362440807
1497,2011-10-13,0.0005400786104483579
1498,2011-10-14,0.00474015627640012
1499,2011-10-16,-0.00010115890175343978
1500,2011-10-17,-0.004429398374873383
1501,2011-10-18,-0.002861960168890898
1502,2011-10-19,0.004442065139920182
1503,2011-10-20,0.0018118242292644582
1504,2011-10-21,0.009580843716847642
1505,2011-10-23,-0.0007086439172884762
1506,2011-10-24,0.0034881972224434787
1507,2011-10-25,0.00036252492755889376
1508,2011-10-26,-0.001976730282099881
1509,2011-10-27,0.007939494800170643
1510,2011-10-28,0.001663470456643168
1511,2011-10-30,-0.0009058758452820115
1512,2011-10-31,-0.002044336069984276
1513,2011-11-01,-0.008558112739667278
1514,2011-11-02,-0.002141590682077421
1515,2011-11-03,0.00803393207092612
1516,2011-11-04,-0.00021830996983573936
1517,2011-11-06,0.00011851704008203345
1518,2011-11-07,0.0018943648328201834
1519,2011-11-08,0.002164153031822935
1520,2011-11-09,-0.011653213689589548
1521,2011-11-10,0.0016264710114368142
1522,2011-11-11,0.007875040698132607
1523,2011-11-13,0.0007716625977218228
1524,2011-11-14,-0.01114086968749467
1525,2011-11-15,-0.006012769185314681
1526,2011-11-16,-0.00615101393128592
1527,2011-11-17,0.0027215226793739222
1528,2011-11-18,0.0035750318564155004
1529,2011-11-20,-0.0019380587483679435
1530,2011-11-21,-0.008716885554242937
1531,2011-11-22,0.0005370500736460726
1532,2011-11-23,-0.007995986874463734
1533,2011-11-24,-0.0029358932162944495
1534,2011-11-25,-0.0024650553856178092
1535,2011-11-27,0.003033549215328224
1536,2011-11-28,0.0008973039525034254
1537,2011-11-29,0.0062843327364616175
1538,2011-11-30,0.006945781397827422
1539,2011-12-01,-0.0013636220929715281
1540,2011-12-02,-0.005607808058007313
1541,2011-12-04,0.0005961634177114594
1542,2011-12-05,0.0024066784108621175
1543,2011-12-06,-0.0025669024685266995
1544,2011-12-07,0.006153354389063559
1545,2011-12-08,-0.004027669303985959
1546,2011-12-09,0.002057350960803339
1547,2011-12-11,-0.0009706444691399141
1548,2011-12-12,-0.004995815195447062
1549,2011-12-13,-0.006280072297511263
1550,2011-12-14,-0.00031665713728656897
1551,2011-12-15,0.0032780355995216115
1552,2011-12-16,0.0013004907643912045
1553,2011-12-18,-0.0014422305561420656
1554,2011-12-19,-0.000850860903353845
1555,2011-12-20,0.01032881465694857
1556,2011-12-21,-0.00012765604372955153
1557,2011-12-22,0.0007210426716590668
1558,2011-12-23,-0.005930521090805496
1559,2011-12-25,0.00042340262372320137
1560,2011-12-26,0.002216727584047007
1561,2011-12-27,0.0022629072020640684
1562,2011-12-28,-0.014477300849738195
1563,2011-12-29,-0.0014586759755786938
1564,2011-12-30,0.008527348712925042
1565,2012-01-01,-0.002873083904275653
1566,2012-01-02,0.0009736502656835233
1567,2012-01-03,0.00822838605986742
1568,2012-01-04,-0.002316608294315625
1569,2012-01-05,-0.0070918863048162195
1570,2012-01-06,-0.004727927132415544
1571,2012-01-08,-0.0005771594190182028
1572,2012-01-09,0.002584893103817265
1573,2012-01-10,0.0009635750022059519
1574,2012-01-11,-0.008907935102924591
1575,2012-01-12,0.00043033749555682066
1576,2012-01-13,-0.0015526940398441491
