Date,log_ret,Index
27/06/2017,-0.012180081,212
28/06/2017,-0.003208037,213
29/06/2017,-0.006165939,214
30/06/2017,0.010487406,215
03/07/2017,-0.004740667,216
05/07/2017,-0.002633794,217
06/07/2017,-0.002199671,218
07/07/2017,0.003434864,219
10/07/2017,0.003283616,220
11/07/2017,0.007020011,221
12/07/2017,0.003042879,222
13/07/2017,0.004272038,223
14/07/2017,0.012911338,224
17/07/2017,0.008381259,225
18/07/2017,0.000672857,226
19/07/2017,0.008572821,227
20/07/2017,0.001599254,228
21/07/2017,-0.008760547,229
24/07/2017,0.006827793,230
25/07/2017,0.01259546,231
26/07/2017,0.008266136,232
27/07/2017,-0.038358678,233
28/07/2017,0.012749338,234
31/07/2017,-0.007130395,235
01/08/2017,0.001888447,236
02/08/2017,0.050902409,237
03/08/2017,-0.007326982,238
04/08/2017,0.00431271,239
07/08/2017,0.006274832,240
08/08/2017,0.010160753,241
09/08/2017,0.005293352,242
10/08/2017,-0.02856062,243
11/08/2017,0.009269458,244
14/08/2017,0.017026013,245
15/08/2017,0.008717795,246
16/08/2017,6.24E-05,247
17/08/2017,-0.014529014,248
18/08/2017,-0.007121088,249
21/08/2017,-0.010326231,250
22/08/2017,0.018587065,251
23/08/2017,0.005427593,252
24/08/2017,-0.002079199,253
25/08/2017,0.004530874,254
28/08/2017,0.004135344,255
29/08/2017,0.000437596,256
30/08/2017,0.016180881,257
31/08/2017,0.005335963,258
01/09/2017,0.000917123,259
05/09/2017,-0.018940077,260
06/09/2017,-0.000249159,261
07/09/2017,-0.000997258,262
08/09/2017,-0.011477438,263
11/09/2017,0.008542229,264
12/09/2017,-0.007029465,265
13/09/2017,-0.005431364,266
14/09/2017,0.001139241,267
15/09/2017,-0.000569458,268
18/09/2017,-3.04E-05,269
19/09/2017,0.00281132,270
20/09/2017,-0.029527876,271
21/09/2017,-0.007045499,272
22/09/2017,-0.014440922,273
25/09/2017,-0.009342121,274
26/09/2017,0.016819409,275
27/09/2017,0.012122155,276
28/09/2017,-0.005485907,277
29/09/2017,-0.004594691,278
02/10/2017,0.004725659,279
03/10/2017,0.007761837,280
04/10/2017,-0.009465749,281
05/10/2017,0.010374958,282
06/10/2017,0.003305145,283
09/10/2017,0.00596818,284
10/10/2017,-0.00248048,285
11/10/2017,0.004182087,286
12/10/2017,-0.000128419,287
13/10/2017,0.004357026,288
16/10/2017,0.007896621,289
17/10/2017,0.009972312,290
18/10/2017,0.002320987,291
19/10/2017,-0.029116544,292
20/10/2017,0.006045423,293
23/10/2017,-0.002953832,294
24/10/2017,0.004491506,295
25/10/2017,-0.0059717,296
26/10/2017,0.009678012,297
27/10/2017,0.012172079,298
30/10/2017,0.031142024,299
31/10/2017,0.019476815,300
01/11/2017,-0.00799884,301
02/11/2017,-0.001994621,302
03/11/2017,0.034724059,303
06/11/2017,0.003500179,304
07/11/2017,0.010888559,305
08/11/2017,0.004196253,306
09/11/2017,-0.006849539,307
10/11/2017,0.006505305,308
13/11/2017,-0.005004756,309
14/11/2017,-0.01288543,310
15/11/2017,-0.016492305,311
16/11/2017,0.011338258,312
17/11/2017,-0.003883043,313
20/11/2017,-0.000471698,314
21/11/2017,0.007169332,315
22/11/2017,0.013204392,316
24/11/2017,0.009180498,317
27/11/2017,-0.007506084,318
28/11/2017,-0.008574792,319
29/11/2017,-0.027728754,320
30/11/2017,0.007628166,321
01/12/2017,0.000356146,322
04/12/2017,0.006683845,323
05/12/2017,-0.007277493,324
06/12/2017,-0.011587061,325
07/12/2017,0.014610988,326
08/12/2017,-0.00053297,327
11/12/2017,-0.00017772,328
12/12/2017,0.015701663,329
13/12/2017,0.003137475,330
14/12/2017,-0.002036957,331
15/12/2017,0.004707806,332
18/12/2017,0.013820328,333
19/12/2017,-0.004413247,334
20/12/2017,-0.004836769,335
21/12/2017,0.004894209,336
22/12/2017,0.002294895,337
26/12/2017,-0.028015146,338
27/12/2017,0.000181503,339
28/12/2017,0.00452689,340
29/12/2017,-0.007418344,341
02/01/2018,0.000236351,342
03/01/2018,0.015825897,343
04/01/2018,0.000697593,344
05/01/2018,0.005621085,345
08/01/2018,0.005072349,346
09/01/2018,-0.002994187,347
10/01/2018,-0.002367138,348
11/01/2018,0.008575839,349
12/01/2018,0.006625945,350
16/01/2018,0.002785755,351
17/01/2018,-0.006093239,352
18/01/2018,0.018001165,353
19/01/2018,-0.004723621,354
22/01/2018,-0.00456709,355
23/01/2018,0.001235918,356
24/01/2018,-0.02068527,357
25/01/2018,-0.015535762,358
26/01/2018,-0.002759918,359
29/01/2018,-0.01773843,360
30/01/2018,-0.014287249,361
31/01/2018,0.010869672,362
01/02/2018,0.001560344,363
02/02/2018,-0.040757033,364
05/02/2018,-0.025942613,365
06/02/2018,-0.012903405,366
07/02/2018,0.032381696,367
08/02/2018,-0.025715652,368
09/02/2018,-0.031384631,369
12/02/2018,0.047254933,370
13/02/2018,0.025944556,371
14/02/2018,0.007580229,372
15/02/2018,0.036884982,373
16/02/2018,0.016257658,374
20/02/2018,-0.002039687,375
21/02/2018,-0.002394651,376
22/02/2018,0.004084973,377
23/02/2018,0.010601113,378
26/02/2018,0.015268345,379
27/02/2018,0.011005557,380
28/02/2018,-0.000617613,381
01/03/2018,-0.030740067,382
02/03/2018,-0.001217003,383
05/03/2018,0.011932009,384
06/03/2018,0.00918301,385
07/03/2018,-0.010616538,386
08/03/2018,0.004580073,387
09/03/2018,0.013164805,388
12/03/2018,0.015772139,389
13/03/2018,-0.005397148,390
14/03/2018,-0.008010125,391
15/03/2018,0.001461167,392
16/03/2018,-0.002530295,393
19/03/2018,-0.022547072,394
20/03/2018,0.007343693,395
21/03/2018,-0.021260188,396
22/03/2018,-0.015653824,397
23/03/2018,-0.021947274,398
26/03/2018,0.009053113,399
27/03/2018,0.002879772,400
28/03/2018,-0.010418329,401
29/03/2018,0.010298504,402
02/04/2018,-0.014666648,403
03/04/2018,0.002489754,404
04/04/2018,-0.000667375,405
05/04/2018,0.043408923,406
06/04/2018,-0.022805737,407
09/04/2018,0.009733686,408
10/04/2018,0.009870744,409
11/04/2018,0.000990589,410
12/04/2018,0.007774014,411
13/04/2018,0.004670077,412
16/04/2018,0.005621215,413
17/04/2018,0.008996758,414
18/04/2018,0.002660705,415
19/04/2018,-0.024147194,416
