,underlying_symbol,quote_datetime,expiration,strike,option_type,close,bid,ask,active_underlying_price,mid_price,years_to_maturity,Option,Stock
1,AMZN,04/01/2021 09:31,22/01/2021,3345,P,0,134.15,136.55,3261.465,135.35,0.049281314,,
2,AMZN,04/01/2021 09:32,22/01/2021,3345,P,0,130.55,132.9,3265.565,131.725,0.049281314,,
3,AMZN,04/01/2021 09:33,22/01/2021,3345,P,0,133.2,135.1,3262.56,134.15,0.049281314,,
4,AMZN,04/01/2021 09:34,22/01/2021,3345,P,0,135.8,137.85,3257.302,136.825,0.049281314,,
5,AMZN,04/01/2021 09:35,22/01/2021,3345,P,0,137.05,138.9,3255,137.975,0.049281314,135.205,3260.3784
6,AMZN,04/01/2021 09:36,22/01/2021,3345,P,0,136.7,138.55,3257,137.625,0.049281314,135.66,3259.4854
7,AMZN,04/01/2021 09:37,22/01/2021,3345,P,143.8,141.9,145.35,3247.48,143.625,0.049281314,138.04,3255.8684
8,AMZN,04/01/2021 09:38,22/01/2021,3345,P,0,139.1,140.45,3253.52,139.775,0.049281314,139.165,3254.0604
9,AMZN,04/01/2021 09:39,22/01/2021,3345,P,0,139.45,142.95,3248,141.2,0.049281314,140.04,3252.2
10,AMZN,04/01/2021 09:40,22/01/2021,3345,P,0,142,146.2,3249.48,144.1,0.049281314,141.265,3251.096
11,AMZN,04/01/2021 09:41,22/01/2021,3345,P,0,142.7,145.6,3245.52,144.15,0.049281314,142.57,3248.8
12,AMZN,04/01/2021 09:42,22/01/2021,3345,P,0,141.25,143.65,3249.75,142.45,0.049281314,142.335,3249.254
13,AMZN,04/01/2021 09:43,22/01/2021,3345,P,0,140.85,143.45,3249.95,142.15,0.049281314,142.81,3248.54
14,AMZN,04/01/2021 09:44,22/01/2021,3345,P,0,141.8,144.1,3248.22,142.95,0.049281314,143.16,3248.584
15,AMZN,04/01/2021 09:45,22/01/2021,3345,P,0,144.1,146.6,3243.407,145.35,0.049281314,143.41,3247.3694
16,AMZN,04/01/2021 09:46,22/01/2021,3345,P,0,141.25,144.75,3249.6,143,0.049281314,143.18,3248.1854
17,AMZN,04/01/2021 09:47,22/01/2021,3345,P,0,140.4,141.85,3251.26,141.125,0.049281314,142.915,3248.4874
18,AMZN,04/01/2021 09:48,22/01/2021,3345,P,0,141.25,144.15,3249.81,142.7,0.049281314,143.025,3248.4594
19,AMZN,04/01/2021 09:49,22/01/2021,3345,P,0,141.2,144.2,3250.49,142.7,0.049281314,142.975,3248.9134
20,AMZN,04/01/2021 09:50,22/01/2021,3345,P,0,139.3,140.7,3253.17,140,0.049281314,141.905,3250.866
21,AMZN,04/01/2021 09:51,22/01/2021,3345,P,0,144.85,146.65,3244.91,145.75,0.049281314,142.455,3249.928
22,AMZN,04/01/2021 09:52,22/01/2021,3345,P,0,148.45,151.6,3237.98,150.025,0.049281314,144.235,3247.272
23,AMZN,04/01/2021 09:53,22/01/2021,3345,P,0,151.9,155.1,3234.05,153.5,0.049281314,146.395,3244.12
24,AMZN,04/01/2021 09:54,22/01/2021,3345,P,0,148.6,151.15,3238.03,149.875,0.049281314,147.83,3241.628
25,AMZN,04/01/2021 09:55,22/01/2021,3345,P,0,147.7,150.75,3240.325,149.225,0.049281314,149.675,3239.059
26,AMZN,04/01/2021 09:56,22/01/2021,3345,P,0,148.15,149.85,3240.24,149,0.049281314,150.325,3238.125
27,AMZN,04/01/2021 09:57,22/01/2021,3345,P,0,147.55,150.85,3240.821,149.2,0.049281314,150.16,3238.6932
28,AMZN,04/01/2021 09:58,22/01/2021,3345,P,0,148.6,152.25,3237.518,150.425,0.049281314,149.545,3239.3868
29,AMZN,04/01/2021 09:59,22/01/2021,3345,P,0,150.9,153.55,3234.62,152.225,0.049281314,150.015,3238.7048
30,AMZN,04/01/2021 10:00,22/01/2021,3345,P,0,151.6,154.35,3234.98,152.975,0.049281314,150.765,3237.6358
31,AMZN,04/01/2021 10:01,22/01/2021,3345,P,0,148.65,152.1,3238,150.375,0.049281314,151.04,3237.1878
32,AMZN,04/01/2021 10:02,22/01/2021,3345,P,0,149.45,152.4,3237.179,150.925,0.049281314,151.385,3236.4594
33,AMZN,04/01/2021 10:03,22/01/2021,3345,P,0,149.5,151.45,3237.3,150.475,0.049281314,151.395,3236.4158
34,AMZN,04/01/2021 10:04,22/01/2021,3345,P,0,151,152.85,3236.769,151.925,0.049281314,151.335,3236.8456
35,AMZN,04/01/2021 10:05,22/01/2021,3345,P,0,151.15,153.7,3234.62,152.425,0.049281314,151.225,3236.7736
36,AMZN,04/01/2021 10:06,22/01/2021,3345,P,0,150.55,152.9,3237.33,151.725,0.049281314,151.495,3236.6396
37,AMZN,04/01/2021 10:07,22/01/2021,3345,P,0,150.7,153.45,3235.53,152.075,0.049281314,151.725,3236.3098
38,AMZN,04/01/2021 10:08,22/01/2021,3345,P,0,152.8,154.75,3232.04,153.775,0.049281314,152.385,3235.2578
39,AMZN,04/01/2021 10:09,22/01/2021,3345,P,0,153.35,156.3,3232.095,154.825,0.049281314,152.965,3234.323
40,AMZN,04/01/2021 10:10,22/01/2021,3345,P,0,154.9,157.9,3229.124,156.4,0.049281314,153.76,3233.2238
41,AMZN,04/01/2021 10:11,22/01/2021,3345,P,0,155.85,158.1,3228.125,156.975,0.049281314,154.81,3231.3828
42,AMZN,04/01/2021 10:12,22/01/2021,3345,P,0,160.45,163.05,3222.985,161.75,0.049281314,156.745,3228.8738
43,AMZN,04/01/2021 10:13,22/01/2021,3345,P,0,163.6,166.75,3218.911,165.175,0.049281314,159.025,3226.248
44,AMZN,04/01/2021 10:14,22/01/2021,3345,P,0,162.55,164.65,3220.57,163.6,0.049281314,160.78,3223.943
45,AMZN,04/01/2021 10:15,22/01/2021,3345,P,0,160.9,163.75,3221.58,162.325,0.049281314,161.965,3222.4342
46,AMZN,04/01/2021 10:16,22/01/2021,3345,P,0,160.5,163.4,3223.38,161.95,0.049281314,162.96,3221.4852
47,AMZN,04/01/2021 10:17,22/01/2021,3345,P,0,158.8,162.45,3224.292,160.625,0.049281314,162.735,3221.7466
48,AMZN,04/01/2021 10:18,22/01/2021,3345,P,0,159,162.25,3225,160.625,0.049281314,161.825,3222.9644
49,AMZN,04/01/2021 10:19,22/01/2021,3345,P,0,158.1,161.05,3227,159.575,0.049281314,161.02,3224.2504
50,AMZN,04/01/2021 10:20,22/01/2021,3345,P,0,159.65,161.7,3224.48,160.675,0.049281314,160.69,3224.8304
51,AMZN,04/01/2021 10:21,22/01/2021,3345,P,0,157.6,159.4,3227.966,158.5,0.049281314,160,3225.7476
52,AMZN,04/01/2021 10:22,22/01/2021,3345,P,0,154.75,156.7,3230.535,155.725,0.049281314,159.02,3226.9962
53,AMZN,04/01/2021 10:23,22/01/2021,3345,P,0,153.8,156.5,3231.75,155.15,0.049281314,157.925,3228.3462
54,AMZN,04/01/2021 10:24,22/01/2021,3345,P,0,154.95,157.5,3231.05,156.225,0.049281314,157.255,3229.1562
55,AMZN,04/01/2021 10:25,22/01/2021,3345,P,0,153.3,155.9,3233.757,154.6,0.049281314,156.04,3231.0116
56,AMZN,04/01/2021 10:26,22/01/2021,3345,P,0,153.95,155.2,3232.32,154.575,0.049281314,155.255,3231.8824
57,AMZN,04/01/2021 10:27,22/01/2021,3345,P,0,153.55,155.6,3232.33,154.575,0.049281314,155.025,3232.2414
58,AMZN,04/01/2021 10:28,22/01/2021,3345,P,0,153.6,155.2,3232.29,154.4,0.049281314,154.875,3232.3494
59,AMZN,04/01/2021 10:29,22/01/2021,3345,P,0,153.55,155.4,3232.495,154.475,0.049281314,154.525,3232.6384
60,AMZN,04/01/2021 10:30,22/01/2021,3345,P,0,151.7,154.4,3235.08,153.05,0.049281314,154.215,3232.903
61,AMZN,04/01/2021 10:31,22/01/2021,3345,P,0,151,153.55,3235.35,152.275,0.049281314,153.755,3233.509
